1:COR:&&(boolean,boolean):==(boolean,boolean):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@excludeField(java.lang.reflect.Field,boolean,com.google.gson.internal.Excluder):67:2478:!excluder.excludeClass(f.getType(), serialize) && !excluder.excludeField(f, serialize) |==> !excluder.excludeClass(f.getType(), serialize) == !excluder.excludeField(f, serialize)
2:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@excludeField(java.lang.reflect.Field,boolean,com.google.gson.internal.Excluder):67:2525:!excluder.excludeClass(f.getType(), serialize) && !excluder.excludeField(f, serialize) |==> false
3:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@excludeField(java.lang.reflect.Field,boolean,com.google.gson.internal.Excluder):67:2478:!excluder.excludeClass(f.getType(), serialize) && !excluder.excludeField(f, serialize) |==> !excluder.excludeClass(f.getType(), serialize)
4:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@excludeField(java.lang.reflect.Field,boolean,com.google.gson.internal.Excluder):67:2528:!excluder.excludeClass(f.getType(), serialize) && !excluder.excludeField(f, serialize) |==> !excluder.excludeField(f, serialize)
5:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):73:2755:annotation == null |==> false
6:LVR:0:POS:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):80:3002:0 |==> 1
7:LVR:0:NEG:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):80:3002:0 |==> -1
8:ROR:==(int,int):>=(int,int):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):80:2981:alternates.length == 0 |==> alternates.length >= 0
9:ROR:==(int,int):FALSE(int,int):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):80:2999:alternates.length == 0 |==> false
10:LVR:POS:0:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):84:3142:1 |==> 0
11:LVR:POS:NEG:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):84:3142:1 |==> -1
12:AOR:+(int,int):%(int,int):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):84:3122:alternates.length + 1 |==> alternates.length % 1
13:AOR:+(int,int):*(int,int):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):84:3122:alternates.length + 1 |==> alternates.length * 1
14:AOR:+(int,int):-(int,int):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):84:3122:alternates.length + 1 |==> alternates.length - 1
15:AOR:+(int,int):/(int,int):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):84:3122:alternates.length + 1 |==> alternates.length / 1
16:STD:<CALL>:<NO-OP>:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):85:3150:fieldNames.add(serializedName); |==> <NO-OP>
17:STD:<CALL>:<NO-OP>:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@getFieldNames(java.lang.reflect.Field):87:3230:fieldNames.add(alternate); |==> <NO-OP>
18:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@create(com.google.gson.Gson,com.google.gson.reflect.TypeToken<T>):95:3459:Object.class.isAssignableFrom(raw) |==> false
19:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@create(com.google.gson.Gson,com.google.gson.reflect.TypeToken<T>):95:3459:Object.class.isAssignableFrom(raw) |==> true
20:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@createBoundField(com.google.gson.Gson,java.lang.reflect.Field,java.lang.String,com.google.gson.reflect.TypeToken<?>,boolean,boolean):110:4140:annotation != null |==> true
21:STD:<ASSIGN>:<NO-OP>:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@createBoundField(com.google.gson.Gson,java.lang.reflect.Field,java.lang.String,com.google.gson.reflect.TypeToken<?>,boolean,boolean):111:4157:mapped = getTypeAdapter(constructorConstructor, context, fieldType, annotation); |==> <NO-OP>
22:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@createBoundField(com.google.gson.Gson,java.lang.reflect.Field,java.lang.String,com.google.gson.reflect.TypeToken<?>,boolean,boolean):113:4290:mapped != null |==> true
23:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@createBoundField(com.google.gson.Gson,java.lang.reflect.Field,java.lang.String,com.google.gson.reflect.TypeToken<?>,boolean,boolean):114:4314:mapped == null |==> false
24:STD:<ASSIGN>:<NO-OP>:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory@createBoundField(com.google.gson.Gson,java.lang.reflect.Field,java.lang.String,com.google.gson.reflect.TypeToken<?>,boolean,boolean):114:4323:mapped = context.getAdapter(fieldType); |==> <NO-OP>
