1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:2694:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
2:AOR:-(int,int):*(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:2694:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) * astPosition.get(b.getValue())
3:AOR:-(int,int):+(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:2694:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) + astPosition.get(b.getValue())
4:AOR:-(int,int):/(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:2694:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) / astPosition.get(b.getValue())
5:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):150:4818:this.root = root; |==> <NO-OP>
6:LVR:0:POS:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:4861:0 |==> 1
7:LVR:0:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:4861:0 |==> -1
8:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:4840:astPositionCounter = 0; |==> <NO-OP>
9:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):152:4868:astPosition = Maps.newHashMap(); |==> <NO-OP>
10:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):153:4905:nodePriorities = Maps.newHashMap(); |==> <NO-OP>
11:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):154:4945:cfg = new AstControlFlowGraph(computeFallThrough(root), nodePriorities, edgeAnnotations); |==> <NO-OP>
12:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):156:5073:NodeTraversal.traverse(compiler, root, this); |==> <NO-OP>
13:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):157:5123:astPosition.put(null, ++astPositionCounter); |==> <NO-OP>
14:LVR:0:POS:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:5315:0 |==> 1
