MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,EXC
3,UNCOV
4,UNCOV
5,UNCOV
6,UNCOV
7,EXC
8,LIVE
9,LIVE
10,LIVE
11,LIVE
12,LIVE
13,LIVE
14,EXC
15,UNCOV
16,UNCOV
17,UNCOV
18,UNCOV
19,UNCOV
20,UNCOV
21,UNCOV
22,UNCOV
23,UNCOV
24,UNCOV
25,LIVE
26,EXC
27,LIVE
28,FAIL
29,LIVE
30,EXC
31,LIVE
32,FAIL
33,UNCOV
34,UNCOV
35,UNCOV
36,FAIL
37,UNCOV
38,LIVE
39,EXC
40,LIVE
41,EXC
42,LIVE
43,LIVE
44,LIVE
45,FAIL
46,LIVE
47,EXC
48,LIVE
49,FAIL
50,EXC
51,FAIL
52,LIVE
53,EXC
54,FAIL
55,FAIL
56,LIVE
57,EXC
58,FAIL
59,FAIL
60,UNCOV
61,UNCOV
62,EXC
